timestamp,open,high,low,close,volume
2025-06-17 14:00:00,85.42,85.89,84.79,84.85,12727.807
2025-06-17 15:00:00,84.86,84.94,83.76,84.1,45980.586
2025-06-17 16:00:00,84.11,84.13,82.6,82.63,39581.922
2025-06-17 17:00:00,82.63,83.62,82.49,83.17,22332.238
2025-06-17 18:00:00,83.16,84.02,83.02,84.02,14986.942
2025-06-17 19:00:00,84.02,85.21,84.02,84.83,19658.299
2025-06-17 20:00:00,84.82,85.0,84.22,84.25,15504.48
2025-06-17 21:00:00,84.25,84.63,83.98,84.44,11557.184
2025-06-17 22:00:00,84.44,84.62,83.7,83.73,33643.547
2025-06-17 23:00:00,83.73,84.6,83.72,84.22,5359.219
2025-06-18 00:00:00,84.23,84.9,84.13,84.9,6729.983
2025-06-18 01:00:00,84.9,85.68,84.88,84.99,8106.361
2025-06-18 02:00:00,85.0,85.17,84.65,84.95,5125.265
2025-06-18 03:00:00,84.95,85.52,84.79,85.28,6624.538
2025-06-18 04:00:00,85.29,85.6,85.05,85.44,6834.642
2025-06-18 05:00:00,85.45,85.61,85.26,85.32,12126.561
2025-06-18 06:00:00,85.32,85.36,84.81,84.95,5599.694
2025-06-18 07:00:00,84.94,85.13,84.71,85.13,10387.154
2025-06-18 08:00:00,85.12,85.38,84.59,84.83,8299.431
2025-06-18 09:00:00,84.83,85.1,84.41,84.58,9016.208
2025-06-18 10:00:00,84.58,84.61,83.41,83.55,20686.209
2025-06-18 11:00:00,83.54,84.59,83.4,84.46,9741.581
2025-06-18 12:00:00,84.46,84.71,83.99,84.06,9230.817
2025-06-18 13:00:00,84.06,84.46,83.34,84.41,13550.882
2025-06-18 14:00:00,84.41,85.33,84.21,84.65,19237.782
2025-06-18 15:00:00,84.66,85.08,84.36,84.82,13002.3
2025-06-18 16:00:00,84.83,85.01,84.27,84.59,10153.013
2025-06-18 17:00:00,84.58,84.88,84.0,84.68,11605.024
2025-06-18 18:00:00,84.68,85.17,83.79,83.87,25750.383
2025-06-18 19:00:00,83.86,84.79,83.72,84.21,11346.256
2025-06-18 20:00:00,84.23,85.46,84.06,85.35,8341.554
2025-06-18 21:00:00,85.34,85.46,84.86,85.18,9227.385
2025-06-18 22:00:00,85.17,85.33,84.96,85.2,5125.341
2025-06-18 23:00:00,85.2,85.34,84.76,85.08,9282.094
2025-06-19 00:00:00,85.08,85.6,84.71,85.18,9210.638
2025-06-19 01:00:00,85.19,85.21,84.63,84.69,7618.129
2025-06-19 02:00:00,84.69,85.2,84.45,84.93,4289.035
2025-06-19 03:00:00,84.93,85.25,84.92,85.17,3707.304
2025-06-19 04:00:00,85.18,85.31,84.84,85.29,8622.523
2025-06-19 05:00:00,85.29,85.48,85.17,85.25,4779.355
2025-06-19 06:00:00,85.24,85.44,84.88,84.98,4438.821
2025-06-19 07:00:00,84.98,85.3,84.93,85.01,6094.077
2025-06-19 08:00:00,85.0,85.18,84.69,84.69,8782.772
2025-06-19 09:00:00,84.69,85.5,84.64,85.35,12609.309
2025-06-19 10:00:00,85.36,86.05,85.16,85.78,28418.521
2025-06-19 11:00:00,85.77,85.78,85.24,85.49,8414.145
2025-06-19 12:00:00,85.49,85.76,85.35,85.47,8915.468
2025-06-19 13:00:00,85.48,85.54,84.82,84.9,11191.59
2025-06-19 14:00:00,84.9,85.26,84.36,84.38,11623.063
2025-06-19 15:00:00,84.39,85.19,84.35,84.8,43450.629
2025-06-19 16:00:00,84.81,85.39,84.5,84.58,16761.626
2025-06-19 17:00:00,84.58,85.27,84.21,84.93,28525.176
2025-06-19 18:00:00,84.92,85.35,84.67,85.07,8882.955
2025-06-19 19:00:00,85.08,85.36,84.93,85.23,6022.206
2025-06-19 20:00:00,85.23,85.43,84.74,85.01,6398.143
2025-06-19 21:00:00,85.01,85.23,84.79,84.98,13117.591
2025-06-19 22:00:00,84.98,85.34,84.98,85.03,15874.723
2025-06-19 23:00:00,85.02,85.22,84.9,85.11,11354.901
2025-06-20 00:00:00,85.11,85.2,84.78,84.99,13045.699
2025-06-20 01:00:00,84.98,85.08,84.74,84.95,4995.79
2025-06-20 02:00:00,84.95,85.12,84.55,84.71,26176.494
2025-06-20 03:00:00,84.71,85.11,84.5,85.1,4972.6
2025-06-20 04:00:00,85.09,85.17,84.25,84.38,6248.541
2025-06-20 05:00:00,84.38,84.77,84.16,84.75,4309.863
2025-06-20 06:00:00,84.75,84.92,84.39,84.55,5595.441
2025-06-20 07:00:00,84.54,85.56,84.36,85.51,27206.347
2025-06-20 08:00:00,85.53,85.9,85.27,85.56,18009.661
2025-06-20 09:00:00,85.56,85.69,85.31,85.59,7864.019
2025-06-20 10:00:00,85.59,85.95,85.4,85.73,7779.314
2025-06-20 11:00:00,85.72,85.85,85.38,85.7,5682.819
2025-06-20 12:00:00,85.7,85.98,85.7,85.76,9304.206
2025-06-20 13:00:00,85.76,85.98,85.29,85.54,11225.847
2025-06-20 14:00:00,85.53,85.71,83.83,83.89,15945.046
2025-06-20 15:00:00,83.89,84.21,83.65,83.8,31460.116
2025-06-20 16:00:00,83.8,83.89,82.87,83.05,24099.442
2025-06-20 17:00:00,83.04,83.25,80.96,82.43,52776.46
2025-06-20 18:00:00,82.42,83.1,82.34,82.92,11199.449
2025-06-20 19:00:00,82.91,83.01,82.26,82.91,7155.249
2025-06-20 20:00:00,82.9,83.69,82.87,83.3,14708.064
2025-06-20 21:00:00,83.3,83.31,82.68,82.92,6836.661
2025-06-20 22:00:00,82.92,82.97,82.35,82.57,9319.697
2025-06-20 23:00:00,82.58,82.94,82.47,82.91,26142.083
2025-06-21 00:00:00,82.92,83.3,82.72,83.07,6610.688
2025-06-21 01:00:00,83.07,83.68,83.07,83.62,5981.713
2025-06-21 02:00:00,83.62,83.68,83.32,83.46,3404.806
2025-06-21 03:00:00,83.46,83.73,83.46,83.56,4177.762
2025-06-21 04:00:00,83.56,83.61,83.4,83.5,4234.026
2025-06-21 05:00:00,83.5,83.8,83.4,83.8,3946.037
2025-06-21 06:00:00,83.8,84.12,83.8,84.04,7489.696
2025-06-21 07:00:00,84.05,84.05,83.26,83.31,8349.629
2025-06-21 08:00:00,83.31,83.61,83.22,83.57,6855.664
2025-06-21 09:00:00,83.58,83.6,83.15,83.31,7347.973
2025-06-21 10:00:00,83.31,83.5,83.01,83.23,9940.98
2025-06-21 11:00:00,83.23,83.33,83.1,83.23,5358.351
2025-06-21 12:00:00,83.24,83.39,82.98,83.03,7456.566
2025-06-21 13:00:00,83.02,83.2,82.51,82.73,8406.819
2025-06-21 14:00:00,82.72,83.19,82.55,82.63,19804.391
2025-06-21 15:00:00,82.63,82.83,82.26,82.8,8325.161
2025-06-21 16:00:00,82.81,83.14,82.59,82.74,7411.2
2025-06-21 17:00:00,82.73,82.96,82.0,82.14,12516.027
2025-06-21 18:00:00,82.14,82.6,81.63,81.71,9656.321
2025-06-21 19:00:00,81.71,81.9,80.5,81.02,42413.18
2025-06-21 20:00:00,81.01,81.8,80.95,81.69,13635.502
2025-06-21 21:00:00,81.68,81.74,78.6,79.32,52734.208
2025-06-21 22:00:00,79.32,80.28,79.16,80.23,22994.801
2025-06-21 23:00:00,80.23,80.31,78.85,80.23,32517.989
2025-06-22 00:00:00,80.23,81.41,79.7,80.98,18334.74
2025-06-22 01:00:00,80.98,81.32,80.03,80.06,7862.393
2025-06-22 02:00:00,80.06,80.63,79.68,80.39,14105.658
2025-06-22 03:00:00,80.39,80.75,80.1,80.51,6944.681
2025-06-22 04:00:00,80.52,81.24,80.38,81.0,6742.233
2025-06-22 05:00:00,81.0,81.53,81.0,81.49,8237.052
2025-06-22 06:00:00,81.5,82.04,81.49,81.84,7301.757
2025-06-22 07:00:00,81.84,81.87,81.1,81.32,9046.302
2025-06-22 08:00:00,81.33,81.49,81.07,81.43,9110.342
2025-06-22 09:00:00,81.44,81.66,80.25,80.34,11817.148
2025-06-22 10:00:00,80.34,81.25,80.24,80.98,11535.806
2025-06-22 11:00:00,80.99,81.39,80.72,81.04,5488.866
2025-06-22 12:00:00,81.05,81.39,80.58,81.21,7193.061
2025-06-22 13:00:00,81.21,81.51,78.29,79.22,87391.994
2025-06-22 14:00:00,79.23,79.61,77.41,78.72,81712.79
2025-06-22 15:00:00,78.72,78.9,77.48,77.66,23888.025
2025-06-22 16:00:00,77.66,78.56,77.35,78.52,21467.044
2025-06-22 17:00:00,78.51,79.32,78.33,79.0,18091.372
2025-06-22 18:00:00,79.0,79.28,78.2,78.27,10650.11
2025-06-22 19:00:00,78.27,78.69,78.01,78.17,8400.744
2025-06-22 20:00:00,78.18,78.68,76.17,78.44,51263.911
2025-06-22 21:00:00,78.45,78.9,77.91,78.15,10571.83
2025-06-22 22:00:00,78.16,80.2,78.11,80.19,36563.9
2025-06-22 23:00:00,80.18,80.31,79.8,80.21,11806.781
2025-06-23 00:00:00,80.21,80.94,80.18,80.3,14789.156
2025-06-23 01:00:00,80.31,80.96,80.18,80.94,6323.516
2025-06-23 02:00:00,80.94,81.03,79.91,79.94,7949.529
2025-06-23 03:00:00,79.94,80.04,79.71,79.98,9514.548
2025-06-23 04:00:00,79.98,80.47,79.81,80.32,6309.713
2025-06-23 05:00:00,80.33,80.9,80.3,80.72,9444.388
2025-06-23 06:00:00,80.72,80.9,80.35,80.7,11110.691
2025-06-23 07:00:00,80.7,81.15,80.7,81.04,14794.661
2025-06-23 08:00:00,81.04,81.25,80.82,80.93,8930.518
2025-06-23 09:00:00,80.93,81.05,80.53,80.94,11443.342
2025-06-23 10:00:00,80.95,80.97,80.67,80.91,8823.487
2025-06-23 11:00:00,80.91,81.04,80.51,80.8,8015.516
2025-06-23 12:00:00,80.8,81.68,80.56,81.68,11857.265
2025-06-23 13:00:00,81.68,82.14,80.6,81.9,25875.432
2025-06-23 14:00:00,81.91,82.28,81.39,81.7,15888.658
2025-06-23 15:00:00,81.7,82.12,81.01,81.11,12278.359
2025-06-23 16:00:00,81.11,81.27,79.47,80.15,30402.158
2025-06-23 17:00:00,80.15,82.05,79.94,81.99,24253.132
2025-06-23 18:00:00,81.98,82.87,81.95,82.74,24734.974
2025-06-23 19:00:00,82.74,83.17,82.64,83.05,11495.446
2025-06-23 20:00:00,83.05,84.17,82.9,83.55,30380.416
2025-06-23 21:00:00,83.56,83.91,83.23,83.36,12452.854
2025-06-23 22:00:00,83.36,85.42,83.34,85.18,43485.726
2025-06-23 23:00:00,85.19,85.32,84.84,84.91,10910.559
2025-06-24 00:00:00,84.91,85.23,84.64,84.99,13133.365
2025-06-24 01:00:00,84.99,85.38,84.79,85.01,7583.355
2025-06-24 02:00:00,85.0,85.0,84.3,84.58,9185.073
2025-06-24 03:00:00,84.57,84.76,84.41,84.5,5543.744
2025-06-24 04:00:00,84.49,84.6,84.19,84.32,6839.14
2025-06-24 05:00:00,84.32,85.2,84.2,85.14,16510.406
2025-06-24 06:00:00,85.13,85.3,84.85,85.07,11047.652
2025-06-24 07:00:00,85.07,85.18,84.32,84.37,15393.406
2025-06-24 08:00:00,84.36,84.66,84.07,84.51,12877.781
2025-06-24 09:00:00,84.52,85.12,84.34,84.59,9467.54
2025-06-24 10:00:00,84.59,84.66,84.21,84.35,7197.28
2025-06-24 11:00:00,84.34,84.57,83.81,84.3,13962.343
2025-06-24 12:00:00,84.3,84.43,83.96,84.37,7957.471
2025-06-24 13:00:00,84.37,84.54,83.81,84.1,12596.419
2025-06-24 14:00:00,84.1,84.75,84.06,84.42,17425.782
2025-06-24 15:00:00,84.42,84.73,83.99,84.36,13101.09
2025-06-24 16:00:00,84.37,85.08,84.2,85.08,13924.418
2025-06-24 17:00:00,85.07,85.1,84.27,84.7,13206.971
2025-06-24 18:00:00,84.69,84.78,84.31,84.53,14970.201
2025-06-24 19:00:00,84.52,84.82,84.17,84.48,12226.896
2025-06-24 20:00:00,84.47,85.18,84.38,85.15,8843.146
2025-06-24 21:00:00,85.14,85.18,84.81,85.11,6625.359
2025-06-24 22:00:00,85.1,85.11,84.73,84.84,5844.781
2025-06-24 23:00:00,84.85,84.87,84.54,84.84,8598.72
2025-06-25 00:00:00,84.84,85.08,84.44,85.05,6334.231
2025-06-25 01:00:00,85.05,85.36,84.83,84.98,9706.287
2025-06-25 02:00:00,84.98,85.25,84.76,84.86,6256.244
2025-06-25 03:00:00,84.86,85.12,84.75,84.9,4674.268
2025-06-25 04:00:00,84.9,85.15,84.67,85.15,4715.174
2025-06-25 05:00:00,85.15,85.26,84.57,84.88,19801.043
2025-06-25 06:00:00,84.89,85.1,84.73,85.02,8132.128
2025-06-25 07:00:00,85.02,85.47,84.92,85.18,18997.51
2025-06-25 08:00:00,85.18,85.28,84.67,85.01,7535.492
2025-06-25 09:00:00,85.02,85.1,84.3,84.57,11176.545
2025-06-25 10:00:00,84.58,84.92,84.35,84.5,13307.627
2025-06-25 11:00:00,84.5,84.53,83.97,84.42,13833.836
2025-06-25 12:00:00,84.42,84.97,84.12,84.61,16048.499
2025-06-25 13:00:00,84.61,85.34,84.55,85.13,31291.384
2025-06-25 14:00:00,85.13,85.26,83.9,84.79,53753.826
2025-06-25 15:00:00,84.78,84.79,83.96,84.12,23681.631
2025-06-25 16:00:00,84.13,84.49,83.98,84.13,10034.263
2025-06-25 17:00:00,84.12,84.85,83.98,84.51,6215.267
2025-06-25 18:00:00,84.51,84.63,84.29,84.53,6834.492
2025-06-25 19:00:00,84.53,84.97,84.5,84.83,7731.106
2025-06-25 20:00:00,84.83,84.93,84.63,84.9,7355.737
